Course Title,Course Description
1.010B Causal Inference for Data Analysis,"Introduces causal inference with an emphasis on probabilistic systems analysis. Readings about conceptual and mathematical background are given in advanced of each class. Class is focused on understanding theory based on real-world applications. The course is project-based and focused on cause-effect relationships, understanding why probabilistic outcomes happen. Topics include correlation analysis, Reichenbach's principle, Simpson's paradox, structural causal models and graphs, interventions, do-calculus, average causal effects, dealing with missing information, mediation, and hypothesis testing. Credit cannot also be received for 1.010. S. Saavedra"
1.013 Senior Civil and Environmental Engineering Design,"Students engage with faculty around a topic of mutual interest, building on the knowledge/skills gained throughout their program. Synthesizes prior coursework and experiences through a semester-long design project and related assignments. Students form teams and work on projects advised by faculty representatives from each core in the 1-ENG curriculum. Teams demonstrate creativity in applying theories and methodologies while considering their project's technical, environmental and social feasibility. Includes lectures on a variety of related engineering concepts, as well as scholarship and engineering practice and ethics. Provides instruction and practice in oral and written communication. Fall: B. Marelli, O. Cordero Spring: B. Marelli, O. Cordero No required or recommended textbooks"
1.015[J] Design of Electromechanical Robotic Systems,"Lecture:  TR11-12.30 ( 1-134 ) Lab:  W2-5 ( NW98-100 ) s   Design, construction, and testing of field robotic systems, through team projects with each student responsible for a specific subsystem. Projects focus on electronics, instrumentation, and machine elements. Design for operation in uncertain conditions is a focus point, with ocean waves and marine structures as a central theme. Basic statistics, linear systems, Fourier transforms, random processes, spectra and extreme events with applications in design. Lectures on ethics in engineering practice included. Instruction and practice in oral and written communication provided. Satisfies 6 units of Institute Laboratory credit. Enrollment may be limited due to laboratory capacity. M. Triantafyllou, T. Consi No required or recommended textbooks"
1.016[J] Design for Complex Environmental Issues,"Lecture:  MW3-4.30 ( 4-409 ) Recitation:  F3 ( 4-409 ) s   Working in small teams with real clients, students develop solutions related to the year's Terrascope topic. They have significant autonomy as they follow a full engineering design cycle from client profile through increasingly sophisticated prototypes to final product. Provides opportunities to acquire skills with power tools, workshop practice, design, product testing, and teamwork. Focuses on sustainability and appropriate technology that matches the client's specific situation and constraints. Products are exhibited in the public Bazaar of Ideas and evaluated by an expert panel. Class taught in collaboration with D-Lab and Beaver Works. Limited to first-year students. Open to students outside of Terrascope. A. W. Epstein, S. L. Hsu, J. Grimm No required or recommended textbooks"
1.018[J] Fundamentals of Ecology,"Fundamentals of ecology, considering Earth as an integrated dynamic living system. Coevolution of the biosphere and geosphere, biogeochemical cycles, metabolic diversity, primary productivity, competition and the niche, trophic dynamics and food webs, population growth and limiting factors. Population modeling, global carbon cycle, climate change, geoengineering, theories of resource competition and mutualism, allometric scaling, ecological genomics, niche theory, human population growth. Applied ecology. D. Des Marais"
1.020 Engineering Sustainability: Analysis and Design,"Introduces a systems approach to modeling, analysis, and design of sustainable systems. Covers principles of dynamical systems, network models, optimization, and control, with applications in ecosystems, infrastructure networks, and energy systems. Includes a significant programming component. Students implement and analyze numerical models of systems, and make design decisions to balance physical, environmental, and economic considerations based on real and simulated data. S. Amin"
1.021 Introduction to Modeling and Simulation,"Units: 4-0-8 Lecture:  TR3-4.30 ( 4-231 ) Recitation:  W3 ( 24-121 ) s   Basic concepts of computer modeling and simulation in science and engineering. Uses techniques and software for simulation, data analysis and visualization. Continuum, mesoscale, atomistic and quantum methods used to study fundamental and applied problems in physics, chemistry, materials science, mechanics, engineering, and biology. Examples drawn from the disciplines above are used to understand or characterize complex structures and materials, and complement experimental observations. M. Buehler, A. Hoffman No required or recommended textbooks"
1.022 Introduction to Network Models,"Provides an introduction to complex networks, their structure, and function, with examples from engineering, applied mathematics and social sciences. Topics include spectral graph theory, notions of centrality, random graph models, contagion phenomena, cascades and diffusion, and opinion dynamics. A. Ajorlou"
1.032 Advanced Soil Mechanics,"Covers topics in the characterization and nature of soils as multi-phase materials; the principle of effective stress; hydraulic conductivity and groundwater seepage; shear strength and stability analyses; stress-deformation properties, consolidation theory and calculation of settlements for clays and sands. Students taking graduate version complete additional assignments. A. Whittle"
1.034[J] Materials in Human Experience,"Lecture:  MW12 ( 4-237 ) Lab:  M2-5 ( 4-006 ) or W2-5 ( 4-006 ) s   Examines how people throughout history have selected, evaluated, processed, and utilized natural materials to create objects of material culture. Explores ideological and aesthetic criteria influential in materials development. As examples of ancient engineering and materials processing, topics may include ancient Roman concrete and prehistoric iron and steel production by the Mossi, Haya, and other African cultures. Particular attention paid to the climate issues surrounding iron and cement, and how the examination of ancient technologies can inform our understanding of sustainability in the present and illuminate paths for the future. Previous topics have included Maya use of lime plaster for frescoes, books, and architectural sculpture; the sound, color, and power of metals in Mesoamerica; and metal, cloth, and fiber technologies in the Inca empire. Laboratory sessions provide practical experience with materials discussed in class. Enrollment limited to 24. M. Tarkanian, A. Masic, J. Hunter No required or recommended textbooks"
1.035 Mechanics of Materials,"Covers the structure and properties of natural and manufactured engineering materials with an emphasis on the fundamentals of mechanical behavior of materials, while considering their use in civil and environmental engineering design. Topics include linear elasticity, plasticity, viscoelasticity, fracture, and fatigue. Laboratory experiments present principles of experimental characterization techniques, materials selection, and design. T. Cohen No required or recommended textbooks"
1.036 Structural Mechanics and Design,"Familiarizes students with structural systems, loads, and basis for structural design, including analysis of determinate and indeterminate structures (trusses, beams, frames, cables, and arches). Covers mechanical properties of construction materials, including concrete, steel, and composites. Studies concrete and steel structures through application of principles of structural mechanics. Evaluates behavior and design of reinforced concrete structural elements using limit strength design and serviceability principles. Introduces plastic analysis and design, and load factor design of structural steel members and connections. Team project emphasizes material covered through behavior and problem-based learning. O. Buyukozturk"
1.037 Soil Mechanics and Geotechnical Design,"Provides an introduction to soils as engineering materials, including classification and characterization, pore pressures and seepage, principles of effective stress and consolidation, deformation, and shear strength properties. Surveys analysis methods, with a focus on slope stability, limiting earth pressures and bearing capacity, and settlements of foundations. Examines applications in the design of earth dams, earth retaining systems, foundations, and staged construction processes. A. Whittle"
1.041[J] Transportation: Foundations and Methods,"Units: 3-1-8 Lecture:  WF2.30-4 ( 1-135 ) Lab:  M2 ( 1-150 ) s   Covers core analytical and numerical methods for modeling, planning, operations, and control of transportation systems. Traffic flow theory, vehicle dynamics and behavior, numerical integration and simulation, graphical analysis. Properties of delays, queueing theory. Resource allocation, optimization models, linear and integer programming. Autonomy in transport, Markov Decision Processes, reinforcement learning, deep learning. Applications drawn broadly from land, air, and sea transport; private and public sector; transport of passengers and goods; futuristic, modern, and historical. Hands-on computational labs. Linear algebra background is encouraged but not required. Students taking graduate version complete additional assignments. C. Wu No required or recommended textbooks"
1.050 Solid Mechanics,"Basic principles of mechanics to describe the behavior of materials, structures and fluids. Dimensional analysis, conservation of momentum, static equilibrium, stress and stress states, hydrostatics, moments and forces. Material and structural strength criteria. Deformation and strain. Conservation of energy in solid mechanics, elasticity and elasticity bounds. Energy dissipation, plasticity and fracture. Open-ended geotechnical and structural engineering studio exercises and experiments with natural and man-made physical systems. J. Carstensen"
1.052 Advancing Mechanics and Materials via Machine Learning,"Lecture:  TR9.30-11 ( 1-150 ) s   Concepts in mechanics (solid mechanics: continuum, micro, meso and molecular mechanics; elasticity, plasticity, fracture and buckling) and machine learning (stochastic optimization, neural networks, convolutional neural nets, adversarial neural nets, graph neural nets, recurrent neural networks and long/short-term memory nets, attention models, variational/autoencoders) introduced and applied to mechanics problems. Covers numerical methods, data and image processing, dataset generation, curation and collection, and experimental validation using additive manufacturing. Modules cover: foundations, fracture mechanics and size effects, molecular mechanics and applications to biomaterials (proteins), forward and inverse problems, mechanics of architected materials, and time dependent mechanical phenomena. Students taking graduate version complete additional assignments. M. Buehler No required or recommended textbooks"
1.053[J] Dynamics and Control I,"Lecture:  MW9.30-11 ( 3-270 ) Recitation:  R10 ( 5-217 ) or R11 ( 5-217 ) or R12 ( 5-217 ) or R1 ( 5-217 ) or R2 ( 5-217 ) +final s   Introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Kinematics. Force-momentum formulation for systems of particles and rigid bodies in planar motion. Work-energy concepts.  Virtual displacements and virtual work. Lagrange's equations for systems of particles and rigid bodies in planar motion. Linearization of equations of motion. Linear stability analysis of mechanical systems. Free and forced vibration of linear multi-degree of freedom models of mechanical systems; matrix eigenvalue problems. Fall: T. Peacock Spring: T. Peacock, D. Yue Textbooks (Spring 2024)"
1.054 Mechanics and Design of Concrete Structures,"Lecture:  MW1-2.30 ( 1-246 ) s   Studies strength and deformation of concrete under various states of stress; failure criteria; concrete plasticity; and fracture mechanics concepts. Topics include fundamental behavior of reinforced concrete structural systems and their members; basis for design and code constraints; high-performance concrete materials and their use in innovative design solutions; and yield line theory for slabs. Uses behavior models and nonlinear analysis. Covers complex systems, including bridge structures, concrete shells, and containments. Students taking graduate version complete additional assignments. O. Buyukozturk Textbooks (Spring 2024)"
1.056[J] Introduction to Structural Design,"Units: 3-3-6 Lecture:  MW9.30-11 ( 3-333 ) Lab:  F10-12 ( 5-233 ) s   Introduces the design and behavior of large-scale structures and structural materials. Emphasizes the development of structural form and the principles of structural design. Presents design methods for timber, masonry, concrete and steel applied to long-span roof systems, bridges, and high-rise buildings. Includes environmental assessment of structural systems and materials. In laboratory sessions, students solve structural problems by building and testing simple models. Graduate and undergraduate students have separate lab sections. J. Ochsendorf No required or recommended textbooks"
1.057 Heritage Science and Technology,"Interdisciplinary, applied introduction to ancient materials and technology. Students explore materials sustainability and durability from multiple perspectives, using ancient societies, architecture and building materials as time-proven examples of innovation in construction. Involves discussions of peer-reviewed literature and cultural heritage, project formulation, data collection, and data analysis. Culminates in presentation of research project(s), and write-ups of the research in manuscript form. A. Masic"
1.058 Structural Dynamics,"Examines response of structures to dynamic excitation: free vibration, harmonic loads, pulses and earthquakes. Covers systems of single- and multiple-degree-of-freedom, up to the continuum limit, by exact and approximate methods. Includes applications to buildings, ships, aircraft and offshore structures. Students taking graduate version complete additional assignments. T. Cohen"
1.060 Fluid Mechanics,"Lecture:  MWF10 ( 1-132 ) Lab:  T10-12 ( 1-132 ) or F2.30-4.30 ( 1-132 ) +final s   Mechanics principles for incompressible fluids. Review of hydrostatics. Conservation of mass, momentum and energy in fluid mechanics. Flow nets, velocity distributions in laminar and turbulent flows, groundwater flows. Momentum and energy principles in hydraulics, with emphasis on open channel flow and hydraulic structures. Drag and lift forces. Analysis of pipe systems, pumps and turbines. Gradually varied flow in open channels, significance of the Froude number, backwater curves and kinematic waves. Application of principles through open-ended studio exercises. Meets with 1.060A first half of term. B. Marelli Textbooks (Spring 2024)"
1.060A Fluid Mechanics I,"Ends Mar 22. Lecture:  MWF10 ( 1-132 ) Lab:  T10-12 ( 1-132 ) or F2.30-4.30 ( 1-132 ) +final s   Mechanics principles for incompressible fluids. Review of hydrostatics. Conservation of mass, momentum and energy in fluid mechanics. Flow nets, velocity distributions in laminar and turbulent flows, groundwater flows. Momentum and energy principles in hydraulics, with emphasis on open channel flow and hydraulic structures. Meets with 1.060 in first half of term. B. Marelli Textbooks (Spring 2024)"
1.061 Transport Processes in the Environment,"Credit cannot also be received for 1.061A   Introduction to mass transport in environmental flows, with emphasis on river and lake systems. Covers derivation and solutions to the differential form of mass conservation equations, hydraulic models for environmental systems, residence time distribution, molecular and turbulent diffusion for continuous and point sources, boundary layers, dissolution, bed-water exchange, air-water exchange, and particle transport. Meets with 1.061A first half of term. Students taking graduate version complete additional assignments. H. Nepf"
1.061A Transport Processes in the Environment I,"Introduction to mass transport in environmental flows. Covers derivation and solution to the differential form of mass conservation, hydraulic models for environmental systems, residence time distribution, and molecular and turbulent diffusion for continuous and point sources. Meets with 1.061 first half of term. H. Nepf"
1.062[J] Nonlinear Dynamics: Continuum Systems,"Units: 3-0-9 Lecture:  TR9.30-11 ( 2-135 ) s   General mathematical principles of continuum systems. From microscopic to macroscopic descriptions in the form of linear or nonlinear (partial) differential equations. Exact solutions, dimensional analysis, calculus of variations and singular perturbation methods. Stability, waves and pattern formation in continuum systems. Subject matter illustrated using natural fluid and solid systems found, for example, in geophysics and biology. B. Primkulov No required or recommended textbooks"
1.063 Fluids and Diseases,"Lecture:  TR EVE (7-8.30 PM) ( 1-371 ) s   Designed for students in engineering and the quantitative sciences who want to explore applications of mathematics, physics and fluid dynamics to infectious diseases and health; and for students in epidemiology, environmental health, ecology, medicine, and systems modeling seeking to understand physical and spatial modeling, and the role of fluid dynamics and physical constraints on infectious diseases and pathologies. The first part of the class reviews modeling in epidemiology and data collection, and highlights concepts of spatial modeling and heterogeneity. The remainder highlights multi-scale dynamics, the role of fluids and fluid dynamics in physiology, and pathology in a range of infectious diseases. The laboratory portion entails activities aimed at integrating applied learning with theoretical concepts discussed in lectures and covered in problem sets. Students taking graduate version complete additional assignments. L. Bourouiba No required or recommended textbooks"
1.066[J] Fluid Physics,"Lecture:  TR2.30-4 ( 4-265 ) s   A physics-based introduction to the properties of fluids and fluid systems, with examples drawn from a broad range of sciences, including atmospheric physics and astrophysics. Definitions of fluids and the notion of continuum. Equations of state and continuity, hydrostatics and conservation of momentum; ideal fluids and Euler's equation; viscosity and the Navier-Stokes equation. Energy considerations, fluid thermodynamics, and isentropic flow. Compressible versus incompressible and rotational versus irrotational flow; Bernoulli's theorem; steady flow, streamlines and potential flow. Circulation and vorticity. Kelvin's theorem. Boundary layers. Fluid waves and instabilities. Quantum fluids. L. Bourouiba Textbooks (Spring 2024)"
1.067[J] Energy Systems for Climate Change Mitigation,"Units: 3-0-9  Reviews the contributions of energy systems to global greenhouse gas emissions, and the levers for reducing those emissions. Lectures and projects focus on evaluating energy systems against climate policy goals, using performance metrics such as cost, carbon intensity, and others. Student projects explore pathways for realizing emissions reduction scenarios. Projects address the climate change mitigation potential of energy technologies (hardware and software), technological and behavioral change trajectories, and technology and policy portfolios. Background in energy systems strongly recommended. Students taking the graduate version complete additional assignments and explore the subject in greater depth. Preference to students in the Energy Studies or Environment and Sustainability minors. J. Trancik"
1.068 Nonlinear Dynamics and Turbulence,"Reviews theoretical notions of nonlinear dynamics, instabilities, and waves with applications in fluid dynamics. Discusses hydrodynamic instabilities leading to flow destabilization and transition to turbulence. Focuses on physical turbulence and mixing from homogeneous isotropic turbulence. Also covers topics such as rotating and stratified flows as they arise in the environment, wave-turbulence, and point source turbulent flows. Laboratory activities integrate theoretical concepts covered in lectures and problem sets. Students taking graduate version complete additional assignments. L. Bourouiba"
1.070A[J] Introduction to Hydrology and Water Resources,"Water in the environment; Water resource systems; The hydrologic cycle at its role in the climate system; Surface water and energy balance; evaporation and transpiration through vegetation; Precipitation formation, infiltration, storm runoff, and flood processes; Groundwater aquifers, subsurface flow and the hydraulics of wells. D. Entekhabi"
1.070B[J] Introduction to Hydrology Modeling,"Develops understanding of numerical modeling of aquifers, groundwater flow and contaminant transport, as well as uncertainty and risk analysis for water resources. D. Entekhabi"
1.071[J] Global Change Science,"Units: 3-0-9  Introduces the basic principles and concepts in atmospheric physics, and climate dynamics, through an examination of: greenhouse gases emissions (mainly CO2), global warming, and regional climate change. Case studies are presented for the regional impacts of climate change on extreme weather, water availability, and disease transmission. Introduction to regional and global environmental problems for students in basic sciences and engineering. Students taking graduate version complete additional assignments. E. Eltahir"
1.072 Groundwater Hydrology,"Lecture:  MW10.30-12 ( 48-308 ) s   Presents the fundamentals of subsurface flow and transport, emphasizing the role of groundwater in the hydrologic cycle, the relation of groundwater flow to geologic structure, and the management of contaminated groundwater. Topics include Darcy equation, flow nets, mass conservation, the aquifer flow equation, heterogeneity and anisotropy, storage properties, regional circulation, unsaturated flow, recharge, stream-aquifer interaction, well hydraulics, flow through fractured rock, numerical models, groundwater quality, contaminant transport processes, dispersion, decay, and adsorption. Includes laboratory and computer demonstrations. Students taking graduate version complete additional assignments. C. Harvey No required or recommended textbooks"
1.073 Introduction to Environmental Data Analysis,"Covers theory and practical methods for the analysis of univariate data sets. Topics include basics of statistical inference, analysis of trends and stationarity; Gaussian stochastic processes, covariance and correlation analysis, and introduction to spectral analysis. Students analyze data  collected from the civil, environment, and systems domains. E. Eltahir"
1.074 Multivariate Data Analysis,"Introduction to statistical multivariate analysis methods and their applications to analyze data and mathematical models. Topics include sampling, experimental design, regression analysis, specification testing, dimension reduction, categorical data analysis, classification and clustering. S. Amin"
1.075 Water Resource Systems,"Units: 3-0-9  Surveys optimization and simulation methods for management of water resources. Case studies illustrate linear, quadratic, nonlinear programming and real-time control. Applications include river basin planning, irrigation and agriculture, reservoir operations, capacity expansion, assimilation of remote sensing data, and sustainable resource development. Students taking graduate version complete additional assignments. D. McLaughlin"
1.076 Carbon Management,"Introduces the carbon cycle and ""climate solutions."" Provides specialized knowledge to manage and offset carbon emissions for government entities and large corporations through nature-based solutions and technology. Students prepare a mini-project simulating the assessment of practices and technologies for removing carbon dioxide from the air for a specific organization, which prepares them to become professionals with the skills to help evaluate and manage carbon emissions. Students taking graduate version complete additional assignments. C. Terrer"
"1.077 Land, Water, Food, and Climate","Units: 3-0-6  Examines land, water, food, and climate in a changing world, with an emphasis on key scientific questions about the connections between natural resources and food production. Students read and discuss papers on a range of topics, including water and land resources, climate change, demography, agroecology, biotechnology, trade, and food security. Supporting information used for background and context includes data and analysis based on government reports, textbooks, and longer peer-reviewed documents not included in the readings. Provides a broad perspective on one of the defining global issues of this century. Students carry out exercises with relevant data sets, write critiques of key issues, and complete a focused term project. Completion of MIT Science Core or equivalent recommended but not required. Students taking graduate version complete additional assignments. D. McLaughlin"
1.080 Environmental Chemistry,"Lecture:  MF1-2.30 ( 48-308 ) s   Introduction to environmental chemistry, focusing on the fate of chemicals in both natural and engineered systems. Covers equilibrium reactions (e.g., partitioning, dissolution/precipitation, acid-base, redox, metal complexation), and kinetically-controlled reactions (e.g., photolysis, free radical oxidation). Specific environmental topics covered include heavy metals in natural waters, drinking water, and soils; biogeochemical cycles; radioactivity in the environment; smog formation; greenhouse gases and climate change; and engineering for the prevention and remediation of pollution. Students taking the graduate version complete additional assignments. J. Kroll No required or recommended textbooks"
"1.081[J] Environmental Cancer Risks, Prevention, and Therapy","Lecture:  TR1-2.30 ( 16-771 ) s   Analysis of the history of cancer and vascular disease mortality rates in predominantly European- and African-American US cohorts, 1895-2016, to discover specific historical shifts. Explored in terms of contemporaneously changing environmental risk factors: air-, food- and water-borne chemicals; subclinical infections; diet and lifestyles. Special section on occupational risk factors. Considers the hypotheses that genetic and/or environmental factors affect metakaryotic stem cell mutation rates in fetuses and juveniles and/or their growth rates of preneoplastic in adults. W. Thilly, R. McCunney No required or recommended textbooks"
1.082 Ethics for Engineers,"Prereq: None Units: 2-0-4 URL: https://e4e.mit.edu/  Lecture:  M3-5 ( 66-148 ) or T3-5 ( 66-148 ) or W3-5 ( 66-148 ) or W EVE (7-9 PM) ( 66-148 ) s   Explores how to be an ethical engineer. Students examine engineering case studies along with foundational ethical readings, and investigate which ethical approaches are best and how to apply them as engineers. Topics include justice, rights, cost-benefit analysis, safety, bias, genetic engineering, climate change, and the promise and peril of AI. Discussion-based. All sections cover the same core ethical frameworks, but some sections have a particular focus for engineering case studies, such as Computer Science or Bioengineering. Students are eligible to take any section of the course, regardless of their registered course number. The subject is taught in separate sections. For 20.005, students additionally undertake an ethical-technical analysis of a BE-related topic of their choosing. Fall: B. L. Trout,  P. Hansen, D. Lauffenburger, K. Hansen Spring: P. Hansen, M. Hemann, D. Lauffenburger, K. Hansen No required or recommended textbooks"
1.084[J] Applied Microbiology,"Units: 3-0-9  Introductory microbiology from a systems perspective - considers microbial diversity and the integration of data from a molecular, cellular, organismal, and ecological context to understand the interaction of microbial organisms with their environment. Special emphasis on specific viral, bacterial, and eukaryotic microorganisms and their interaction with animal hosts with focus on contemporary problems in areas such as vaccination, emerging disease, antimicrobial drug resistance, and toxicology. J. Niles, K. Ribbeck"
1.085[J] Air Pollution and Atmospheric Chemistry,"Prereq: 18.03  Units: 3-0-9  Provides a working knowledge of basic air quality issues, with emphasis on a multidisciplinary approach to investigating the sources and effects of pollution. Topics include emission sources; atmospheric chemistry and removal processes; meteorological phenomena and their impact on pollution transport at local to global scales; air pollution control technologies; health effects; and regulatory standards. Discusses regional and global issues, such as acid rain, ozone depletion and air quality connections to climate change. Students taking graduate version complete additional assignments. Recommended for upper-level undergraduate students. C. Heald"
1.086 Physics of Renewable Energy Systems and Computational Analysis,"Lecture:  TR3-4.30 ( 48-316 ) s   Introduction to renewable energy generation in the context of the energy grid system. Focuses on computational analysis and modeling of energy systems. Topics include the energy grid and energy markets; fossil fuel generation; wind, solar, hydroelectric, and ocean energy; and energy storage. Tools, including computational models of wind energy generation and energy forecasting algorithms, introduced. Final project focuses on the development of low-carbon, low-cost energy systems. Students taking graduate version complete additional assignments. M. Howland Textbooks (Spring 2024)"
1.088 Genomics and Evolution of Infectious Disease,"Subject Cancelled  s   Provides a thorough introduction to the forces driving infectious disease evolution, practical experience with bioinformatics and computational tools, and discussions of current topics relevant to public health. Topics include mechanisms of genome variation in bacteria and viruses, population genetics, outbreak detection and tracking, strategies to impede the evolution of drug resistance, emergence of new disease, and microbiomes and metagenomics. Discusses primary literature and computational assignments. Students taking graduate version complete additional assignments. T. Lieberman"
1.089 Environmental Microbial Biogeochemistry,"Lecture:  TR1.30-3 ( 48-316 ) s   Provides a thorough introduction to biogeochemical cycling from the vantage point of microbial physiology. Emphasizes molecular mechanisms, experimental design and methodology, hypothesis testing, and applications. Topics include aerobic and anaerobic respiration, trace metals, secondary metabolites, redox, plant-microbe interactions, carbon storage, agriculture, and bioengineering. Formal lectures and in-depth discussions of foundational and contemporary primary literature. Students use knowledge of microbial metabolisms to develop final projects on applied solutions to problems in agriculture and biogeochemistry. Students taking graduate version complete additional assignments. D. McRose No required or recommended textbooks"
1.091 Traveling Research Environmental eXperience (TREX): Fieldwork,"Introduction to environmental fieldwork and research, with a focus on data collection and analysis. Subject spans three weeks, including two weeks of fieldwork, and involves one or more projects central to environmental science and engineering. Location varies year-to-year, though recent projects have focused on the island of Hawaii. Limited to Course 1 students. D. Des Marais No required or recommended textbooks"
1.096[J] Design of Sustainable Polymer Systems,"Units: 3-0-9  Capstone subject in which students are charged with redesigning consumable plastics to improve their recyclability and illustrate the potential future of plastic sourcing and management. Students engage with industry partners and waste handlers to delineate the design space and understand downstream limitations in waste treatment. Instruction includes principles of plastic design, polymer selection, cost estimation, prototyping, and the principles of sustainable material design. Students plan and propose routes to make enhanced plastic kits. Industry partners and course instructors select winning designs. Those students can elect to proceed to a semester of independent study in which prototype kits are fabricated (using polymer extrusion, cutting, 3D printing), potentially winning seed funds to translate ideas into real impacts. Preference to juniors and seniors in Courses 10, 1, and 2. Staff"
1.097 Introduction to Civil and Environmental Engineering Research,"Students work one-on-one with a CEE graduate student or postdoc mentor on a project that aligns with their research interests. Previous project topics include transportation networks, structural mechanics, sediment transport, climate science, and microbial ecology. Includes weekly seminar-style talks. Intended for first-year students. S. Smith No required or recommended textbooks"
1.101 Introduction to Civil and Environmental Engineering Design I,"Introduces the creative design process in the context of civil and environmental engineering. Emphasizes the idea-to-product trajectory: identification of a design question/problem, evaluation of requirements/constraints set by the application and/or client, and implementation into a concrete product deliverable.  Fosters active learning through open-ended, student-driven projects in which teams apply the design process to a design/planning problem. In labs, students design and build a working model or an experiment that addresses a specific engineering aspect of their project. In addition to written and oral presentations, students start a web-based portfolio. Satisfies 6 units of Institute Laboratory credit. Enrollment limited; preference to Course 1 majors and minors. T. Cohen   end   end   end   end   end   end  Engineering Information Systems and Computation   end   end   end  Engineering Analysis Methods   end"
